,Age,Gender,num_coffeeBags_per_year,spent_week,spent_month,SlrAY,Distance,Online,Decision
510,46,Male,4,0,35,15748,3.776564254,1,
511,55,Male,4,36,142,46023,3.788256222,0,
512,28,Male,4,0,24,40574,3.833882361,1,
513,24,Female,4,53,195,62353,3.883044625,0,
514,43,Male,4,39,143,172658,3.970186185,1,1.0
515,23,Female,4,34,118,59454,3.988763108,0,
516,42,Male,4,48,154,41644,4.058064555,0,
517,53,Female,4,26,47,25890,4.279431283,1,0.0
518,27,Female,4,41,160,82515,4.454804233,0,1.0
519,54,Female,4,53,209,80366,4.479744329,0,1.0
520,50,Female,4,39,95,43914,4.580701197,1,
521,23,Female,4,41,149,45716,4.666931396,1,1.0
522,19,Male,4,37,84,14776,4.683312189,1,
523,23,Female,4,41,148,59993,4.815908091,1,1.0
524,23,Male,4,33,132,69269,4.882619004,0,
525,55,Female,4,35,127,58253,5.052227071,0,1.0
526,50,Male,4,28,41,18898,5.059369543,1,0.0
527,62,Male,4,0,0,9122,5.159085535,1,
528,16,Male,4,0,0,8066,5.237103262,1,
529,22,Female,4,46,152,122458,5.275785284,1,
530,39,Male,4,25,67,30336,5.287552294,1,
531,56,Female,4,60,192,47795,5.288899734,1,
532,48,Female,4,33,121,82091,5.496833622,0,
533,40,Female,4,0,0,12635,5.502085392,1,
534,19,Female,4,44,132,14615,5.678315792,1,
535,32,Male,4,0,0,8107,5.683755668,1,0.0
536,64,Male,4,0,59,24891,5.751099963,1,
537,33,Female,4,30,51,17622,5.913396791,1,
538,46,Female,4,26,28,11387,5.922983996,0,0.0
539,16,Female,4,24,28,8788,5.971547854,1,
540,24,Male,4,0,0,12538,5.974700641,1,
541,55,Female,4,41,165,74001,6.198774159,0,1.0
542,54,Male,4,0,0,9248,6.215636662,1,
543,30,Male,4,45,166,76182,6.262125563,0,1.0
544,28,Female,4,46,178,49986,6.265870868,0,1.0
545,54,Male,4,49,147,48662,6.37744582,1,1.0
546,28,Female,4,0,29,31811,6.490826687,0,
547,46,Female,4,25,61,38559,6.514802297,1,
548,18,Female,4,28,81,4653,6.533732514,1,
549,26,Female,4,35,109,49470,6.576735092,1,1.0
550,25,Male,4,33,103,58517,6.673321664,0,1.0
551,35,Male,4,51,199,67176,6.748440124,1,
552,26,Male,4,18,24,11795,6.977641844,0,
553,28,Female,4,25,78,61394,7.175391115,1,0.0
554,30,Female,4,37,115,74707,7.212716777,0,1.0
555,28,Male,4,47,169,54356,7.537502897,0,1.0
556,30,Male,4,42,164,90621,7.568254439,0,
557,29,Female,4,48,176,56326,7.598203322,0,1.0
558,29,Male,4,50,199,89480,7.682391114,0,1.0
559,40,Female,4,29,66,27459,8.161523894,1,0.0
560,27,Female,4,51,186,47370,8.31469654,1,1.0
561,50,Male,4,44,166,72415,8.678895587,1,1.0
562,26,Male,4,49,191,70712,8.731732242,1,1.0
563,30,Male,4,31,120,82293,8.861159575,1,0.0
564,23,Female,4,37,146,57707,9.139699522,0,1.0
565,59,Male,4,30,112,69515,9.409150101,1,0.0
566,25,Female,4,23,67,37955,9.452802332,1,0.0
567,55,Male,4,19,66,30313,9.558484579,0,0.0
568,40,Female,4,25,95,71606,9.728073934,0,0.0
569,38,Female,4,17,22,11066,9.738271378,0,0.0
570,50,Female,4,23,58,25511,9.808361017,0,0.0
571,30,Female,4,41,148,79733,9.822799527,1,1.0
572,33,Female,4,38,54,31628,9.975487271,0,0.0
573,58,Male,4,31,121,35947,10.22458318,1,0.0
574,43,Female,4,40,137,45800,10.32127869,0,0.0
575,55,Male,4,39,134,77829,10.72254522,0,0.0
576,23,Male,5,18,57,26172,0.03689777071,1,
577,25,Male,5,53,173,68230,0.05795804252,1,1.0
578,16,Male,5,31,107,8822,0.07101700832,1,
579,28,Male,5,26,67,70144,0.1052640537,0,1.0
580,18,Female,5,38,135,4605,0.1199771859,1,1.0
581,21,Male,5,39,148,81582,0.1918272356,1,1.0
582,41,Female,5,54,167,49634,0.2105975221,0,1.0
583,28,Female,5,43,157,55394,0.2394583463,1,1.0
584,55,Male,5,0,36,13684,0.2540904777,0,
585,32,Female,5,55,186,48510,0.287739186,0,1.0
586,30,Male,5,29,66,39122,0.3039204117,0,1.0
587,54,Female,5,40,115,59197,0.3604170769,1,1.0
588,27,Female,5,48,175,68687,0.361283369,1,1.0
589,26,Female,5,0,30,12730,0.3614676282,1,
590,41,Female,5,40,143,72508,0.3618783406,1,1.0
591,21,Male,5,32,103,60228,0.3840045647,0,1.0
592,26,Male,5,42,163,84140,0.3911534981,0,1.0
593,29,Male,5,18,60,45727,0.4577881356,1,1.0
594,32,Male,5,39,145,66738,0.4994601747,0,1.0
595,27,Female,5,44,135,43178,0.5086875102,1,
596,18,Male,5,0,53,2667,0.5315402914,1,
597,23,Female,5,54,202,46949,0.5916482747,0,1.0
598,16,Female,5,44,158,2441,0.7494333417,1,
599,28,Male,5,40,141,61964,0.7667138246,0,1.0
600,23,Male,5,52,187,81147,0.8032598388,0,
601,55,Male,5,0,0,9579,0.8791977191,0,
602,54,Male,5,27,102,46553,0.8923990059,1,
603,17,Male,5,21,44,1617,0.9486521215,1,
604,18,Male,5,60,206,4702,0.9488707831,1,1.0
605,20,Male,5,29,46,13971,0.9494010669,1,1.0
606,33,Female,5,32,102,51835,1.023870029,0,1.0
607,31,Female,5,33,122,45816,1.062239272,0,1.0
608,64,Female,5,21,53,65715,1.065184061,0,
609,26,Female,5,34,72,70332,1.203701922,1,1.0
610,23,Female,5,19,76,28708,1.2861596,0,1.0
611,26,Male,5,37,112,29155,1.291056077,0,
612,51,Male,5,59,199,78325,1.292852793,1,1.0
613,55,M,5,0,25,14353,1.297461685,1,1.0
614,38,Male,5,30,96,38700,1.33502867,1,
615,50,Female,5,20,71,56644,1.409565077,0,1.0
616,41,Female,5,47,165,133258,1.428970038,1,1.0
617,17,Female,5,45,145,5714,1.48749092,1,1.0
618,56,Male,5,48,175,59822,1.553862786,0,
619,43,Female,5,41,142,79305,1.563648181,1,1.0
620,36,Male,5,27,65,25688,1.57592956,1,
621,16,Female,5,41,153,6347,1.611368311,1,1.0
622,24,Female,5,50,156,43144,1.662766322,1,1.0
623,55,Male,5,27,70,27526,1.664940461,1,1.0
624,47,Female,5,0,0,14332,1.836073107,0,0.0
625,42,Male,5,32,75,59644,1.862299191,0,1.0
626,48,Male,5,0,0,18954,1.86446341,0,
627,25,Male,5,31,109,28965,1.873737296,0,
628,51,Female,5,0,41,42764,1.87614454,0,
629,25,Male,5,19,64,66182,1.882812419,1,
630,57,Male,5,20,47,30303,1.893106094,1,1.0
631,27,Female,5,42,158,48287,1.950216998,1,1.0
632,43,Male,5,37,122,42927,1.975203791,1,1.0
633,23,Female,5,29,111,66990,2.147042664,1,1.0
634,67,Female,5,32,83,31970,2.394355755,1,
635,19,Male,5,30,93,12033,2.493806992,1,
636,42,Male,5,45,166,55019,2.51596978,1,1.0
637,42,Female,5,0,35,37526,2.580120251,0,1.0
638,20,Male,5,45,142,12039,2.640330468,1,
639,37,Female,5,34,127,58144,2.694178606,1,1.0
640,22,Male,5,34,113,65922,2.80994551,0,1.0
641,56,Male,5,51,199,52894,2.897947887,0,1.0
642,19,Male,5,49,175,14937,2.97526153,1,1.0
643,23,Female,5,38,147,53371,3.017867142,0,
644,23,Female,5,37,63,10776,3.03931546,1,
645,16,Female,5,52,204,6957,3.108047348,1,
646,48,Male,5,19,22,12399,3.221677354,1,
647,23,Female,5,31,109,57644,3.223153494,0,
648,36,Male,5,32,101,56039,3.223584522,0,
649,49,Female,5,36,126,51413,3.224240134,0,1.0
650,54,Male,5,32,95,43637,3.297853001,1,
651,23,Male,5,39,150,68362,3.347334508,1,
652,27,Female,5,42,158,84689,3.364248489,1,1.0
653,24,Female,5,32,106,60461,3.57838659,0,
654,57,Male,5,46,148,40207,3.734441281,1,
655,28,Male,5,51,155,51162,3.984329156,0,1.0
656,18,Female,5,0,0,10336,4.023593655,1,
657,48,Male,5,60,193,55374,4.051335632,0,
658,22,Male,5,39,140,81015,4.091573497,0,
659,40,Female,5,18,29,31811,4.095357114,0,
660,25,Female,5,41,65,37269,4.150332714,0,
661,33,Male,5,38,123,40271,4.320751872,1,
662,47,Female,5,28,95,32980,4.370066568,1,0.0
663,33,Female,5,43,163,55905,4.502544246,0,1.0
664,64,Female,5,0,52,33657,4.570478869,1,
665,29,Female,5,0,39,17454,4.702136374,0,0.0
666,24,Male,5,0,53,24392,5.042980002,1,
667,23,Male,5,48,145,51478,5.142996805,1,
668,57,Male,5,0,30,21038,5.253790988,1,
669,32,Female,5,47,144,39144,5.405128449,0,
670,25,Male,5,37,118,65249,5.441949002,1,
671,19,Female,5,42,158,14454,5.471412723,1,
672,29,Female,5,38,130,43662,5.791980232,1,1.0
673,66,Female,5,0,52,55227,5.984716485,0,
674,23,Female,5,45,122,78030,6.026889354,1,1.0
675,49,Male,5,34,79,50467,6.231551304,0,0.0
676,25,Female,5,16,24,11088,6.241402628,0,0.0
677,67,Male,5,41,151,182058,6.288699987,1,
678,52,Male,5,48,185,41582,6.520663548,0,1.0
679,38,Male,5,0,0,18467,6.524655275,0,0.0
680,24,Female,5,62,205,55772,6.583449315,1,
681,54,Female,5,31,48,28107,6.717171995,1,0.0
682,33,Female,5,34,96,78058,6.723240672,0,
683,33,Female,5,28,103,34486,7.355393556,0,1.0
684,24,Male,5,31,120,53144,7.569241105,1,1.0
685,58,Male,5,32,89,36097,7.81210855,1,0.0
686,45,Female,5,0,0,10201,7.875805944,1,0.0
687,30,Male,5,40,150,113508,8.174177386,1,1.0
688,53,Female,5,22,58,31003,8.438063155,0,0.0
689,28,Male,5,52,176,52103,8.525892917,0,1.0
690,24,Male,5,25,64,28498,9.074018709,0,0.0
691,25,Male,5,19,37,17695,9.280160115,1,0.0
692,23,Female,5,38,135,57822,9.517477409,0,0.0
693,32,Male,5,44,174,45644,9.636763898,0,1.0
694,28,Male,5,36,133,43674,10.20143178,1,0.0
695,55,Male,5,39,114,53585,10.35565603,1,0.0
696,29,Female,5,20,74,29799,10.45506767,0,0.0
697,45,Female,5,61,201,80260,10.47634065,0,1.0
698,54,Male,5,44,116,44077,10.69388912,1,0.0
699,63,Male,5,33,117,43081,10.75519423,1,0.0
700,20,Female,5,41,159,12522,10.87156648,0,
701,90,Male,5,39,170,15098,10.89156648,0,1.0
